"trial_type","trial_index","time_elapsed","internal_node_id","rt","responses","partNum","view_history","key_press","images","key_choice","image_i_chosen","feedback_correct","phase","correct_stim","correct","score"
"two-choice","71","293143","0.0-3.68-0.68","518","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","0","34"
"two-choice","72","295975","0.0-3.69-0.69","554","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","1","trial","0","1","35"
"two-choice","73","298788","0.0-3.70-0.70","543","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","0","35"
"two-choice","74","301555","0.0-3.71-0.71","493","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","1","36"
"two-choice","75","304355","0.0-3.72-0.72","526","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","0","36"
"two-choice","76","307095","0.0-3.73-0.73","461","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","1","trial","0","1","37"
"two-choice","77","309943","0.0-3.74-0.74","573","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","1","38"
"two-choice","78","312635","0.0-3.75-0.75","410","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","0","38"
"two-choice","79","315643","0.0-3.76-0.76","723","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","38"
"two-choice","80","318470","0.0-3.77-0.77","552","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","0","38"
"two-choice","81","321143","0.0-3.78-0.78","389","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","38"
"two-choice","82","323951","0.0-3.79-0.79","528","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","39"
"two-choice","83","326751","0.0-3.80-0.80","521","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","1","trial","0","1","40"
"two-choice","84","329635","0.0-3.81-0.81","614","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","1","41"
"two-choice","85","332358","0.0-3.82-0.82","448","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","0","41"
"two-choice","86","335149","0.0-3.83-0.83","522","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","0","trial","1","0","41"
"two-choice","87","337868","0.0-3.84-0.84","437","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","42"
"two-choice","88","341023","0.0-3.85-0.85","873","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","0","42"
"two-choice","89","343754","0.0-3.86-0.86","465","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","0","trial","1","0","42"
"two-choice","90","346596","0.0-3.87-0.87","569","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","0","42"
"two-choice","91","349359","0.0-3.88-0.88","488","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","1","43"
"two-choice","92","352203","0.0-3.89-0.89","577","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","43"
"two-choice","93","355251","0.0-3.90-0.90","770","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","44"
"two-choice","94","357991","0.0-3.91-0.91","475","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","45"
